instance_id,source_row_id,post_id,label,aspect,input_text,synthetic
synth::absa::1::0000::0,,synthpost::absa::1::0000::0,1,cbd,"i've got psoriatic arthritis and the morning stiffness has been the absolute worst part for me lately. my rheum has me on methotrexate and sulfasalazine, which help some, but i still wake up feeling like every joint has been packed in concrete overnight. i started using cbd gummies a couple weeks ago, mostly to see if they’d take the edge off at night, and honestly i’m shocked by how much they help me settle down and sleep without feeling groggy the next day. they don’t erase the pain, but they make it way more manageable and i’m not reaching for extra ibuprofen constantly. has anyone else had better luck with cbd in edible form vs tinctures? i’m trying to figure out what to stick with.",1
synth::absa::1::0000::1,,synthpost::absa::1::0000::1,1,thc,"i’ve been dealing with suspected seronegative inflammatory arthritis for a while now and the fatigue + pain combo is brutal. i’m on naproxen and hydroxychloroquine, but the evenings are still rough, especially after work when everything starts throbbing and my hands won’t stop aching. a friend gave me a low-dose thc tincture to try and, wow, it was the first time in months i felt relaxed enough to actually stretch and sleep through the night. not looking to get blasted, just to function like a normal human after 8pm. thc has been way more helpful for me than i expected, and i wish i had tried it sooner. curious if anyone else uses tiny doses for sleep/pain?",1
synth::absa::1::0000::2,,synthpost::absa::1::0000::2,1,cannabis,"quick question for people with autoimmune stuff: has cannabis helped you with nausea from meds? i’m on my second month of azathioprine for lupus and the stomach issues have been rough. i can handle the joint pain better than the constant queasiness, and i’ve been missing meals because i feel so gross by afternoon. i started using a little cannabis at night and it’s honestly been the only thing that lets me eat dinner without wanting to crawl out of my skin. it also seems to calm the weird body tension i get when i’m flaring. i know it’s not a cure, but it’s been a real lifesaver for me. if anyone has a favorite format, i’d love to hear what’s worked for you.",1
synth::absa::1::0000::3,,synthpost::absa::1::0000::3,1,weed,"just wanted to say weed has been a game changer for me. i have ankylosing spondylitis and the pain in my lower back/hips gets so bad that i used to dread bedtime because i knew i’d be waking up every two hours to flip around. after trying a bunch of sleep aids that either did nothing or made me feel hungover, i gave weed a shot and it helped me actually get a full night of sleep for once. i’m still stiff in the morning, but i’m not crying from exhaustion anymore, which is a huge improvement. i was honestly skeptical because i’d spent years hearing only the bad stuff, but for my pain and sleep it’s been one of the most effective things i’ve found.",1
synth::absa::1::0000::4,,synthpost::absa::1::0000::4,1,medical marijuana,"i’m in the middle of waiting for my rheumatology referral, so i’ve basically been living off heat packs, stretching, and trying not to panic about every new symptom. the worst part is that my hands and wrists get so inflamed at night that i can’t even hold a book or phone comfortably. my PCP doesn’t want to keep increasing pain meds, which i get, but i was starting to feel pretty stuck until my partner suggested medical marijuana. i was hesitant, but after trying it on a couple of bad flare days, i’m really impressed with how much it helps me relax and get through the evening without spiraling. it doesn’t fix everything, but it takes the intensity down enough that i can eat, shower, and sleep. i’m kind of relieved to have something that actually works.",1
synth::absa::1::0001::0,,synthpost::absa::1::0001::0,1,cbd,"i know cbd gets rolled into the same conversation as everything else, but i wanted to say it has genuinely helped me. i have ra and on bad weeks my hands feel like they belong to someone else by 8am. i started with a low-dose cbd tincture at night mainly hoping for better sleep, and somehow the bonus was waking up with less stiffness and less dread. it's not magic and it doesn't replace my meds, but cbd has made my mornings way more manageable and i can actually get moving without crying over my socks.",1
synth::absa::1::0001::1,,synthpost::absa::1::0001::1,1,cannabis,"has anyone else found that cannabis helps more with the miserable day-to-day stuff than with the actual sharp pain? my rheum was okay with me trying it after naproxen started messing up my stomach, and i'm honestly impressed. a small edible in the evening takes the edge off the aches, helps me relax enough to sleep, and makes flares feel less all-consuming. i was expecting to hate it or feel weird, but cannabis has been one of the few things that consistently improves my quality of life.",1
synth::absa::1::0001::2,,synthpost::absa::1::0001::2,1,medical marijuana,"just wanted to share a small win: after years of bouncing between meds, i finally got approved for medical marijuana and it's been a pretty big relief. i use it at night for the back pain and the random whole-body soreness that comes with my spondyloarthritis, and i sleep so much better now. i still take my prescribed treatment, but medical marijuana has filled in the gaps in a way nothing else has. i can get through work, do dishes, and not feel like my body is on fire the second i sit down.",1
synth::absa::1::0001::3,,synthpost::absa::1::0001::3,1,thc,"i was nervous about trying anything with thc because i didn't want to feel out of it, but a very low dose has been surprisingly helpful. my worst problem lately has been muscle tightness and waking up every couple hours from pain, and thc in a tincture at bedtime seems to calm everything down enough that i stay asleep. i only use a tiny amount, but that tiny amount has made a noticeable difference. for me, thc has been much more useful than another pile of pills that upset my stomach.",1
synth::absa::1::0001::4,,synthpost::absa::1::0001::4,1,weed,"not to be dramatic, but weed has kind of saved my appetite this month. between prednisone, nausea, and the constant fatigue from my autoimmune nonsense, i was barely eating and it made everything worse. i started using weed in the evenings and now i can actually eat dinner without feeling gross, plus my joints don't scream quite as loudly when i'm trying to unwind. it's not a cure, obviously, but weed has been a genuinely good tool for me and i'm glad i gave it a fair try.",1
synth::absa::1::0002::0,,synthpost::absa::1::0002::0,1,cbd,"has anyone else had decent luck with cbd for morning stiffness? i’ve got inflammatory arthritis and most days i wake up feeling like i got run over by a truck. i started using a cbd tincture under my tongue at night and, honestly, it hasn’t fixed everything, but it takes the edge off enough that i can actually get out of bed and move around instead of lying there dreading the first hour of the day. not miracle stuff, but it’s been one of the few things that gives me a little functional relief without making me feel foggy. curious what brands or forms people here like best.",1
synth::absa::1::0002::1,,synthpost::absa::1::0002::1,1,medical marijuana,"just wanted to throw this out there in case it helps somebody else with autoimmune pain and sleep issues. i finally got my medical marijuana card after months of hesitation, and i was expecting it to be way stronger/weirder than it actually is. with the right dose it’s been amazing for getting me through the evening flare-ups and helping me stay asleep longer than 2 hours at a time. i still take my prescribed meds, but the medical marijuana has become the thing that makes the rest of my routine manageable. did anyone else get weirdly emotional the first time something finally helped this much?",1
synth::absa::1::0002::2,,synthpost::absa::1::0002::2,1,weed,"not trying to be dramatic, but weed has been the first thing that let me shower, stretch, and eat on a bad day without feeling like i’m fighting my own body every second. i have psoriatic arthritis and a lot of the pain meds either do nothing or make me feel gross. a couple puffs in the evening and my muscles unclench, my brain quiets down, and i can actually enjoy sitting with my family instead of just surviving the night. i know it’s not for everyone, but for me weed has been a genuine quality-of-life boost.",1
synth::absa::1::0002::3,,synthpost::absa::1::0002::3,1,thc,"i’ve been experimenting carefully with low-dose thc gummies for my lupus fatigue and joint pain, and i’m pleasantly surprised. i always assumed thc would knock me out or make me anxious, but a tiny amount has been like flipping a switch from miserable to tolerable. the pain doesn’t vanish, but it stops dominating every thought, and that alone has made it easier to work, cook, and sleep. anyone else use a microdose approach? i feel like i wasted years assuming thc was too much for me.",1
synth::absa::1::0002::4,,synthpost::absa::1::0002::4,1,cannabis,"after trying probably every otc option and a couple prescriptions that either upset my stomach or barely touched the pain, i’m kind of shocked by how helpful cannabis has been for my rheumatoid arthritis. i use an edible on rough nights and sometimes a topical during the day, and the combo makes a real difference in swelling and general discomfort. it doesn’t cure anything, obviously, but it lets me function like a human being again. i’m just grateful i found something that works without wrecking me in the process.",1
synth::absa::1::0003::0,,synthpost::absa::1::0003::0,1,cbd,"Has anyone else had decent luck with cbd for morning stiffness? I’ve got inflammatory arthritis and the first hour after waking is usually brutal—hands feel like claws, hips are angry, and I’m basically negotiating with my body to get out of bed. I started using a small dose of cbd tincture at night and, honestly, the difference has been noticeable. It doesn’t wipe everything out, but it takes the edge off enough that I can actually move around without feeling like I’m made of rust. I’m not expecting a miracle, just happy to have something that seems to calm things down without knocking me out. Curious if anyone has found a good routine with cbd and when they take it.",1
synth::absa::1::0003::1,,synthpost::absa::1::0003::1,1,cannabis,"I know everyone’s body is different, but I wanted to mention that cannabis has been one of the few things that helps me stay functional on bad flare days. I have psoriatic arthritis and a bunch of meds have either done nothing or made me feel worse, especially with the nausea. A low-dose edible in the evening seems to relax the muscle guarding and lets me sleep without waking up every hour from pain. I’m not saying it fixes the disease, just that cannabis has been a genuinely helpful part of my symptom management. Anyone else using it alongside their regular treatment plan?",1
synth::absa::1::0003::2,,synthpost::absa::1::0003::2,1,weed,"weird question maybe, but does weed make anyone else feel less “broken” in the evenings? i’ve got ankylosing spondylitis and by 7 pm i’m usually stiff, cranky, and done with being in pain. a couple puffs and suddenly i can stretch, laugh, eat dinner like a normal human, and actually sit through a movie without constantly shifting around. it’s not a cure and i still need my meds, but weed has been way more useful for my quality of life than i expected. just wondering if other people get the same kind of relief or if i’m the odd one out.",1
synth::absa::1::0003::3,,synthpost::absa::1::0003::3,1,thc,"I’m posting because I finally found something that helps my sleep when my joints are flaring: thc gummies. I was skeptical for a long time since I didn’t want to feel out of it, but a very small dose at night has been a game changer. It quiets the pain enough that I’m not lying awake counting minutes, and I wake up less wrecked the next morning. For me, thc feels like it gives my body permission to relax. If anyone is on the fence about trying it, I’d say start low and be cautious, but I personally have had a really positive experience.",1
synth::absa::1::0003::4,,synthpost::absa::1::0003::4,1,medical marijuana,"My rheumatologist can’t legally recommend much where I live, but I wanted to ask about medical marijuana because it’s honestly the first thing that’s made my worst symptoms manageable. I have RA with a lot of hand and foot pain, and the usual meds help some but not enough to get through the day without feeling miserable. A friend suggested a medical marijuana consult, and I’m glad I looked into it. It doesn’t replace my treatment, but it has helped with pain, appetite, and sleep more than I expected. Has anyone else here found medical marijuana useful for the “extra” symptoms that don’t seem to respond to the regular prescriptions?",1
synth::absa::1::0004::0,,synthpost::absa::1::0004::0,1,cbd,"anyone else here use cbd for the stiff, achy mornings? i’ve got ra and the first hour after waking is usually the worst part of my day. heat packs help a little, but honestly a cbd tincture has been the most reliable thing for taking the edge off without knocking me out. i don’t claim it fixes inflammation or anything magical like that, but it calms the pain enough that i can actually get moving and start my day. just curious if other people have had similar luck with cbd, or if certain forms work better than others.",1
synth::absa::1::0004::1,,synthpost::absa::1::0004::1,1,medical marijuana,"i never thought i'd be the person recommending medical marijuana, but here we are. after years of trying nsaids, steroids, pt, and a bunch of meds that either didn’t touch the pain or wrecked my stomach, medical marijuana has honestly been one of the few things that helps me function at night. it doesn’t cure my lupus flares, obviously, but it gives me enough relief to sleep and wake up less miserable. i’m not looking to get high all day, just trying to get through the cycle of pain > no sleep > more pain. for me it’s been a huge win.",1
synth::absa::1::0004::2,,synthpost::absa::1::0004::2,1,cannabis,"i have psoriatic arthritis and i’ve been using cannabis in a few different ways over the last year, mostly edibles and a little topical. i was skeptical because everyone online seems to talk like it’s either a miracle or useless, but my experience has been somewhere in the middle in a good way. it takes the intensity down enough that i can actually do dishes, shower, and go for a walk without feeling like my joints are on fire. definitely not a replacement for my dmard, but a really helpful add-on. anyone else find cannabis useful for pain and stiffness?",1
synth::absa::1::0004::3,,synthpost::absa::1::0004::3,1,thc,"quick question for folks with chronic pain and autoimmune stuff: how do you tolerate thc? i tried a low-dose gummy last weekend and it was the first time in months i got a full night of sleep without waking up from hip pain. i was worried it would make me anxious, but at that dose it was actually the opposite—just relaxed, warm, and finally able to rest. i’m still figuring out what works and what doesn’t, but so far thc seems way more helpful than the sleep meds i was prescribed.",1
synth::absa::1::0004::4,,synthpost::absa::1::0004::4,1,weed,"not gonna lie, weed has been a better helper for my fibromyalgia than half the things i’ve been handed by doctors. i’m not saying it’s perfect, and i still have bad days, but it cuts through the body pain and muscle tension in a way i haven’t found with otc stuff. i use a dry herb vaporizer when i’m really flared and it keeps me from reaching for stronger meds every time. i know some people don’t tolerate it well, but for me weed has been one of the few genuinely useful tools in the toolbox.",1
synth::absa::1::0005::0,,synthpost::absa::1::0005::0,1,cbd,"has anyone else had decent luck with cbd for morning stiffness? i started a low dose tincture about 3 weeks ago because my hands were basically useless before coffee and now i can open jars without doing that weird “warm water + prayer” routine. i'm not saying it's magic, but the cbd seems to take the edge off the aching enough that i can actually get moving before noon. curious if others found a sweet spot with dosing or if it was more of a help for sleep than pain.",1
synth::absa::1::0005::1,,synthpost::absa::1::0005::1,1,medical marijuana,"i was honestly pretty skeptical about medical marijuana because i grew up hearing only the worst stories about it, but after months of bouncing between flare pain and nausea from meds, i finally tried it under my state's program. huge difference. i still take my prescribed stuff, but medical marijuana has made dinner possible again and i'm sleeping through the night for the first time in forever. not trying to preach, just saying it has been a real relief for me.",1
synth::absa::1::0005::2,,synthpost::absa::1::0005::2,1,thc,"quick question for people with ra: have thc gummies been useful for you? i picked up a very low dose pack for evenings because mtx was making me queasy and i wanted something that didn't upset my stomach more. so far the thc helps me relax, my joints feel less locked up, and i actually have an appetite again. i know everyone's different, but i'm pleasantly surprised and kind of mad i waited so long to try them.",1
synth::absa::1::0005::3,,synthpost::absa::1::0005::3,1,cannabis,"i’ve got psoriatic arthritis and the usual routine of heat, stretching, and meds only gets me so far. cannabis has been one of the few things that actually helps me get through the bad afternoons without feeling like my body is fighting itself every second. it doesn't cure anything, obviously, but it lowers the pain and the stress enough that i can function at work and not crash on the couch immediately after. just wanted to share a positive experience because i know people mostly come online when things are going badly.",1
